일자,제목,키워드,감정라벨,감정점수
2022-01-02,“18만 달러 더 줄테니 가지 마” 애플 vs 메타 싸움 점입가경,"달러,점입가경,애플,vs,메타,싸움,점입,가경,애플,메타,페이스북,싸움,점입가경,앱추적,투명성,ATT,적용,원색,비난,회사,신경전,확보,미래,먹거리,인재,쟁탈전,블룸버그,외신,애플,달러,최대,2억,주식,인센티브,지급,지급,대상,반도체,설계,하드웨어,소프트웨어,실적,5만,18만,달러,주식,애플,4년,근무,조건,애플,예정,인센티브,제공,쟁탈전,인재,치열,메타,인력,급증,블룸버그,애플,사이,메타,이직,엔지니어,100명,애플,메타,증강현실,AR,홍보책임자,안드레아,슈베르트,영입,맞불,충돌,지점,AR,가상현실,VR,중심,메타버스,회사,미래사업,분야,애플카,불투명,애플,내년,AR,헤드셋,출시,메타버스,진입,전망,애플,하드웨어,엔지니어링,리치오,수석,부사장,프로젝트,책임자,내정,업계,프로젝트,AR,VR,애플,메타,메타버스,보유,독보,플랫폼,겨냥,관측,그동안,애플,아이폰,앱스토어,모바일,기기,생태,페이스북,SNS,독보,지위,경쟁,갈등,깊이,애플,메타,감정,상태,메타,사명,메타버스,미래,성장,동력,선언,자회사,오큘러스,VR,기기,제조,회사,메타버스,진입,지렛대,전략,메타,방향타,배경,애플,애플,iOS,업데이트,앱추적,투명성,ATT,적용,치명상,메타,핵심,수익,모델,맞춤,광고,사용자,페이스북,사용,생성,데이터,활용,성별,나이,인종,최적화,광고,구조,ATT,적용,불가능,페이스북,하루,20억,가량,사용,SNS,세계,최대,추가,성장,도모,메타,소상공인,위협,애플,ATT,계획,ATT,반발,전면광고,신문,애플,최고,경영자,CEO,마크,저커버그,메타,CEO,서로,비난,불편,심기,미국,경제,매체,개인정보,회사,철학,정반대,싸움,수년,지속,진단",neutral,2.999955660023261
2022-01-02,"[미국주식톱픽] 애플, 서학개미 순매수 1위...테슬라 상위권 유지","애플,1위,서학개미,매수,테슬라,상위,유지,배정원,인턴,서학개미들,마지막,일주일,서학개미,애플,주식,테슬라,매수,상위,랭크,성장,전기차,시장,개미들,기대감,투영,한국예탁결제원,개인,투자자,지난주,12.24,12.30,애플,APPLE,4407만,달러,한화,523억,어치,집계,한국예탁결제원,애플,30일,현지시간,거래일,대비,0.66%,하락,178.20달러,거래,애플,주가,가량,상승,내년,아이폰,출하,XR,확장현실,헤드셋,출시,매출,증가,주가,기대감,매수,모건스탠리,글로벌,투자,은행,애플,목표주가,200달러,상향,조정,JP모건,애플,목표주가,210달러,제시,블룸버그,애플,자율주행,핵심,프로세서,2025년,자동차,완전,자율,주행,애플카,출시,예고,서학개미들,애플,안정적,투자처,인식,주식,2위,테슬라,TESLA,차지,매수,규모,달러,한화,378억,테슬라,주가,27일,현지시간,1093.94달러,28일,현지시간,일론,머스크,테슬라,최고,경영자,CEO,추가,지분,매각,소식,하락,0.21%,소폭,전기차,열풍,테슬라,중국,시장,수요,확대,신규,공장,가동,영향,내년,주가,상승,전망,투자자들,러브콜,3위,엔비디아,NVIDIA,CORP,매수,규모,달러,한화,350억,대표적,메타버스,수혜주,엔비디아,누적,수익,130%,정도,상승세,엔비디아,출시,인공지능,메타버스,협업,플랫폼,옴니버스,제조,디자인,자율주행,분야,메타버스,적용,필수,평가,엔비디아,인공지능,메타버스,유망,산업,진출,만큼,수익,투자자들,매수세,지속,예상,4위,어도비,ADOBE,차지,매수,규모,달러,한화,313억,어도비,14일,현지시간,JP모건,기술주,투자의견,중립,주가,6.6%,추락,어도비,주가,하락세,서학개미들,기회,저점,매수,판단,어도비,영상,제작,편집,프로그램,프리미어,생산,소프트웨어,기업,유튜브,시장,활황,지속,성장,5위,마이크로소프트,MICROSOFT,CORP,매수,규모,달러,한화,147억,마이크로소프트,56.7,6%,수익률,기록,기업,다우존스,지수,최고,실적,분야,클라우드,컴퓨팅,실적,기록,투자자들,관심,확대,이외,VAXART,SPLR,ISHARES,PREFERRED,INCOME,SECURITIES,ETF,ISHARES,IBOXX,USD,HIGH,YIELD,CORPORATE,BOND,ETF,VAXART,PROPERTIES,MILLERKNOLL,US0537611024,INNOVATIVE,INDUSTRIAL,PROPERTIES,MILLERKNOLL,순위권,이름",neutral,3.034428851446137
2022-01-03,"아이폰13, 2개월째 中대륙 휩쓸었지만...""완판행렬 곧 끝난다""","아이폰13,2개월,대륙,완판행렬,2개월,중국,스마트폰이,애플,출시,아이폰13,조사결과,2일,자료,시장,조사,업체,카운터,포인트,리서치,인용,보도,판매량,기준,애플,중국,스마트폰,시장,점유,23.6%,10월,연속,2위,비보,VIVO,17.8%,기록,WSJ,중국판,블랙,프라이데이,영향,광군절,기간,판매,프로모션,풀이,애플,실제,카운터,포인트,리서치,조사,결과,11월,매출,전월,대비,15.5%,증가,광군절,기간,징둥닷컴,중국,최대,전자,상거래,플랫폼,신형,아이폰,10위,판매량,소비자,중국,온라인,쇼핑몰,수량,구매,가능,제한,WSJ,중국,프리미엄,스마트폰,시장,최대,경쟁자,화웨이,미국,제재,판매량,급감,영향,애플,중국,아이폰,가격,책정,중국,아이폰,판매,아이폰,대비,300~800위안,5만,14만,스마트폰,교체,시기,소비자들,아이폰13,선택,카운터포인트리서치,애플,판매량,중국,브랜드,전망,에단,Ethan,Qi,연구원,중국,아이폰,구형,기기,이용자,교체,수요,연말,프로모션,정도,충족,브랜드,저가,모델,중심,중국,오포,Oppo,비보,아너,Honor,판매량",neutral,3.76154775172472
2022-01-03,"티몬, 스피킹맥스 1년 이용권 최대 86% 할인 ""100억 매출 기념""","티몬,스피킹맥스,이용권,최대,86%,할인,100억,매출,기념,티몬,온라인,영어,교육,브랜드,스피킹맥스,프로그램,이용,올인원,마스터패,자유,이용권,정가,대비,최대,86%,단독,할인,판매,3일,티몬,티비온,라이브커머스,플랫폼,TVON,3일,14일,9시,미국,현지,생중계,실시간,이원,진행,판매방송,특별,라이브,판매,방송,편성,현지,원어민,렌터카,탐방,음식,주문,유명,관광지,주제,상황,실제,사용,영어,표현,라이브,방송,구매,혜택,방송,구매,고객,10만,추가,할인,이용권,정규,추가,증정,방송,댓글,구매인증,커피상품권,애플,에어팟,상품,증정,고객,구매,대상,해외여행,왕복,항공권,백화점상품권,추첨,증정,이벤트,준비,판매,패키지,350만,프로그램,영어,교육,교재,16권,포함,실장,티몬,이재훈,티몬,100억,누적,매출,달성,스피킹맥스,고객,부응,혜택,준비,고객,자기계발,상품,서비스,파트너들,교육,전문,파트너,협업",neutral,2.999997486011125
2022-01-03,"티몬, 스피킹맥스 '올인원 마스터패키지' 1년 이용권 86% 할인 단독 판매","티몬,마스터패,스피킹맥스,올인원,이용,86%,할인,단독,판매,티몬,온라인,영어,교육,브랜드,스피킹맥스,돌파,누적,판매,기념,영어,프로그램,이용,올인원,마스터패,자유,이용권,정가,대비,최대,86%,단독,할인,판매,3일,이달,주말,제외,9시,티비온,TVON,미국,현지,생중계,실시간,이원,진행,판매방송,특별,라이브,판매,방송,편성,현지,원어민,렌터카,탐방,음식,주문,유명,관광지,주제,상황,실제,사용,영어,표현,예정,라이브방송,구매시,혜택,방송,구매,고객,10만,추가,할인,이용권,정규,추가,증정,방송,댓글,구매인증,커피상품권,애플,에어팟,상품,증정,고객,구매,대상,해외여행,왕복,항공권,백화점상품권,추첨,증정,이벤트,준비,판매,패키지,350만,프로그램,영어,교육,교재,16권,포함,영어,회화,기초,실전,대비,수준,학습,정규과정,시점,상황,현지인,대화,영어,온라인,뉴욕,하와이,런던,세계,도시,여행,영어,해외여행,현지인,대화,영상,단어,공부,맥스보카,1년,자유,이용,정규과정,해외여행,자유,이용권,할인,최대,80%,금액,개별,구매,가능,실장,이재훈,티몬,티몬,100억,누적,매출,달성,스피킹맥스,고객,부응,새해,혜택,준비,고객,자기계발,상품,서비스,파트너들,교육,전문,파트너,협업",neutral,3.000134851608891
2022-01-03,“메타버스 주도권 잡아라” 애플-메타 ‘인재 쟁탈전’ 점입가경,"메타버스,주도,애플,메타,인재,쟁탈전,점입가경,애플,메타,급증,엔지니어,이직,최대,달러,자사,지급,결정,선점,먹거리,갈등,애플,메타,페이스북,싸움,점입가경,앱추적,투명성,ATT,적용,원색,비난,회사,신경전,확보,미래,먹거리,인재,쟁탈전,블룸버그,외신,애플,달러,최대,2억,주식,인센티브,지급,지급,대상,반도체,설계,하드웨어,소프트웨어,실적,5만,18만,달러,주식,애플,4년,근무,조건,애플,예정,인센티브,제공,쟁탈전,인재,치열,메타,인력,급증,블룸버그,애플,사이,메타,이직,엔지니어,100명,애플,메타,증강현실,AR,홍보책임자,안드레아,슈베르트,영입,맞불,충돌,지점,AR,가상현실,VR,중심,메타버스,회사,미래사업,분야,애플카,불투명,애플,내년,AR,헤드셋,출시,메타버스,진입,전망,애플,하드웨어,엔지니어링,리치오,수석,부사장,프로젝트,책임자,내정,업계,프로젝트,AR,VR,애플,메타,메타버스,보유,독보,플랫폼,겨냥,관측,그동안,애플,아이폰,앱스토어,모바일,기기,생태,페이스북,SNS,독보,지위,경쟁,갈등,깊이,애플,메타,감정,상태,메타,사명,메타버스,미래,성장,동력,선언,자회사,오큘러스,VR,기기,제조,회사,메타버스,진입,지렛대,전략,메타,방향타,배경,애플,애플,iOS,업데이트,앱추적,투명성,ATT,적용,치명상,메타,핵심,수익,모델,맞춤,광고,사용자,페이스북,사용,생성,데이터,활용,성별,나이,인종,최적화,광고,구조,ATT,적용,불가능,페이스북,하루,20억,가량,사용,SNS,세계,최대,추가,성장,도모,메타,소상공인,위협,애플,ATT,계획,ATT,반발,전면광고,신문,사진,왼쪽,애플,최고,경영자,CEO,마크,커버그,사진,오른쪽,메타,CEO,서로,비난,불편,심기,미국,경제,매체,개인정보,회사,철학,정반대,싸움,수년,지속,진단",neutral,2.9999974921738612
2022-01-04,"[종목이슈] 애플 시총 韓GDP 2배 돌파...""XR 애플카 관련주가 수혜주""","애플,시총,GDP,돌파,XR,관련주,수혜주,김준희,애플,시가총액,사상,미국,기업,달러,장중,글로벌,안전,자산,주목,메타버스,XR,확장현실,헤드셋,애플카,신사업,성장,기대감,주가,추세,애플,핵심,부품,공급,업체,전기,전자,대형주,수혜주,주목,미국,나스닥,상장,애플,현지시간,달러,시총,세계,기업,규모,애플,세계,시총,2018년,8월,클럽,입성,규모,몸집,애플,로고,애플,주가,상승,아이폰13,에어팟,제품,판매,호조,XR,애플카,구상,구체화,수요,견조,사업,성과,성장성,자산,글로벌,안전,지위,평가,애플,아이폰,수요급증,부품,공급,품귀,현상,상황,매체,소식통,애플,상반기,아이폰,시리즈,출하량,30%,계획,아이팟,웨어러블,요인,주가,상승,연구원,서상영,미래에셋증권,애플,주가,상승,연말,쇼핑,시즌,에어팟,판매,웨어러블,매출,성장,부각,웨어러블,메타버스,3차원,가상현실,XR,기기,출시,상황,시장,애플,중순,XR,헤드셋,글래스,내년,스마트,예상,완전,자율,주행,초점,애플카,출시,출시,김준희,LG이노텍,3개월,현황,주가,변동,사진,네이버금융,캡처,LG,애플,수혜주,주목,애플,부품,공급,애플,확장,핵심,부품,공급망,확보,추정,금융투자업계,LG전자,LG디스플레이,LG이노텍,애플,파트너,유력,연구원,김동원,KB,증권,애플,부품,업체,선정,장기,갈등,지정학,위험,시장,검증,아이폰,공급망,적극,활용,전망,중국,한국업체,선호,가능성,연구원,LG디스플레이,LG이노텍,2022년,출시,헤드셋,메타버스,XR,입체,영상,몰입도,OLED,모듈,센싱,공급,기업,애플카,테스크포스,TF,구성,추정,공급,애플카,부품,준비,예상,시장,LG디스플레이,LG이노텍,애플,납품,매출,부품,합산,20조,예상,공급,아이폰,부품,시장,검증,만큼,애플,메이저,부품,업체,선정,가능성,무게감,마그나,합작법인,LG마그나이파워트레인,설립,LG전자,JV,진입,애플카,사업,상황,연구원,전장,사업,집중,투자,LG전자,LG디스플레이,LG이노텍,애플카,생산,핵심,부품,공급망,확보,판단,유력,애플카,파트너,추정,애플,주가,탄력,증시,주가,LG전자,LG디스플,상승세,16%,,24%,애플,주가,최고가,182.88달러,주가,1~4%,상승세,26%,,급등,LG이노텍,매물,이날,차익,실현,마감,5.8%,하락",positive,4.993838964262977
2022-01-04,"""잡스 없는 애플은 끝"" 팀 쿡 비웃더니 10년 후 '역대급 반전'","잡스,애플,10년,역대급,반전,기사,글로벌마켓,최대,해외,투자,정보,플랫폼,한경,글로벌,마켓,게재,기사,포브스,미국,경제,매체,애플,대체,최고경영자,CEO,물색,보도,여름,CEO,주가,반토막,신뢰,바닥,무렵,세상,스티브,잡스,애플,제품,사람들,잡스,빈자리,세상,애플,인류,시가,총액,달러,기업,인물,기록,잡스,비전,수익,사람,수익,메타버스,자율주행차,영역,잡스,혁신,협상가,팀쿡,3조,달러,기업3일,현지시간,애플,2.5%,거래일,대비,2.5%,182.01달러,이날,애플,장중,달러,시가,총액,달러,돌파,애플,인류,시가,총액,달러,달성,기업,잡스,1996년,애플,복귀,사임,주가,6300%,시총,달러,기업,주가,1480%,시총,달러,기업,만큼,창의,만큼,협상가,취향,잡스,제품,부품,맞춤형,주문,수익,소수점,자리,가격,협상,경험,중국,애플,영향력,일조,잡스,중국,CEO,시절,방문,중국,정부,관계자,시장,세계,최대,중국,애플,11월,기준,중국,스마트폰,시장,점유,23.6%,주주,협상,잡스,살아생전,자사,매입,자사주,신제품,인수합병,M&A,투자,판단,얘기,현금,경영,단면,주주들,요구,2012년,자사,매입,시작,2012년,애플,자사주매입,소각,금액,4670억,달러,557조,이스라엘,국내총생산,GDP,만큼,자사주,얘기,자사주매입,상승,애플,주가,요인,시장,주식,공급,기업,주가,주당이익,증가,투자자,매력적,애플,현금,매각가능,채권,1900억,달러어치,9월,기준,자사,매입,공산,AR,VR,헤드셋,애플카,기대감,애플,수요,코로나19,아이폰,아이패드,수요,글로벌,공급,차질,물건,수요,매출,증권가,컨센서스,마이크로소프트,세계,시가,총액,자리,공급망,애플,수익,자체,독보적,주가,통틀어,2020년,10월,2021년,9월,매출,전년,대비,33.2%,증가,3658억,달러,영업이익,63.4%,증가,1089억,달러,기록,시장,애플뮤직,앱스토어,서비스,매출,다니엘,아이브스,웨드부시증권,연구원,애플,서비스,주가,상승,기여,가치,1조,달러,추산,설명,웨드부시,애플,목표주가,200달러,제시,애플,혁신,준비,아이폰,출시,시장,AR,VR,헤드셋,페이스북,메타,회사,이름,세계,기업,개화,메타,버스,시장,승기,노력,상황,애플,소비자,AR,VR,헤드셋,게임체인저,재리매김,장기적,애플카,기대감,애플,전기차,자율,주행,출시,전망,포르테,Tom,Forte,D.A,데이비드슨,애플,시가총액,달러,돌파,만큼,출시,일정,부담,애플,메타,버스,시장,주도권,애플카,성공적,출시,애플,시가총액,달러,달러,돌파",neutral,2.925058457069099
2022-01-04,잡스는 알았을까 애플 자사주 매입 효과,"잡스,애플,자사,매입,효과,현금,배당,자사주,매입,확대,진입,안전,자산,반열,수완,CEO,경영,재조명,AR,넥스트,빅싱,애플,단순,성장주,아이폰,아이패드,판매,애플,워치,안정적,현금,흐름,자사,매입,안전,자산,애플,시가,총액,3조,달러,돌파,3일,현지시간,CNBC,경제,전문,방송,배경,효과,자사,매입,거론,투자자들,자본,환원,정책,애플,안전자산,평가,과거,스티브,잡스,창업자,시절,애플,자사주,매입,잡스,후임,최고경영자,CEO,매입,자사,시작,애플,10년,4670억,달러어치,자사주,매입,소각,시티그룹,애플,900억,달러,규모,자사,매입,추가,배당금,10%,인상,전망,글로벌,신용,평가사,애플,최고,안전자산,평가,무디스,애플,투자등급,AAA,제시,미국,신용,등급,한국,비교,단계,수준,애플,도산,가능성,판단,시총,달러,돌파,경영,수완,조명,코로나19,팬데믹,세계적,대유행,공급망,전문가,안정적,관리,위기,기회,평가,CEO,재직,애플,시총,2조,달러,증가,시장,애플,추가,상승,블룸버그,애플,애널리스트,35명,매수,의견,매도,의견,2명,월스트리트저널,WSJ,투자자들,증강현실,AR,전기차,넥스트,넥스트,big,thing,소문,환호,애플,자체,연구개발,R&D,투자,애플,성장성,의문,애플,마감,회계연도,33%,전년도,대비,33%,매출,성장,달성,비지블,알파,추정,24%,급증,아이폰,판매량,1%,팩트셋,애플,3년,매출,증가,5%,전망,WSJ,빅테크,대형,정보,기업,기업,수준,지적,정부,규제,칼날,위기,요인,애플,앱스토어,수수료,30%,정책,인앱결제,정부,빅테크,기업,규제,강화,방침,대상,집중,공격,뉴욕,백종민",neutral,3.4028039085678756
2022-01-04,"세계 첫 시총 3조달러 찍은 애플 ""훌륭한 성장주""","세계,시총,달러,애플,성장주,182.88달러,거래,첫날,달러,투자자,성장,잠재력,유지,초점,전기차,가상현실,헤드셋,출시,미국,애플,3일,현지시간,세계,기업,장중,시가,총액,달러,3580조,돌파,애플,거래,첫날,나스닥,달러,시총,로이터통신,보도,애플,이날,달러,역대,최고점,동부,기준,3시,2.44%,181.90달러,거래,애플,16개월,달러,시총,고지,달러,역사,기록,보유,스탠더드앤드푸어스,S&P,지수,애플,차지,비중,7%,로이터통신,애플,아이폰,제조사,자율주행차,메타버스,신시장,개척,제품,출시,투자자들,확신,시총,달러,기록,세계,회사,진단,컴퍼니스마켓캡,기준,이날,종가,시총,미국,마이크로소프트,MS,시총,2조,달러,달러,기업군,시총,달러,기업,애플,마이크로소프트,알파벳,구글,회사,1조,달러,아람코,1조,달러,아마존,1조,달러,테슬라,1조,달러,정도,석유회상,사우디아라비아,국영,석유,회상,아람코,제외,미국,국적,기업,블룸버그,통신,반도체,부족,반도체,전망,금리,상승,제기,투자자들,애플,제품,세계적,인기,성장,유지,신제품,잠재력,회사,현금,보유력,초점,D.A.데이비슨,미국,금융,기관,데이비슨,애널리스트,포르테,돌파,애플,시총,달러,이례적,투자자들,전기차,포함,애플,미래,상품,메타버스,증강현실,가상현실,활용,장담,애플,기간,패턴,코로나19,기간,세계,소비,온라인,이동,아이폰,하드웨어,소프트웨어,애플TV,애플뮤직,분야,미디어,서비스,매출,CNBC,애플,계획,출시,비밀,유지,악명,전문가들,애플,미래,전기,자동차,증강현실,가상현실,헤드셋,출시,애플,서비스,범주,스토어,애플,뮤직,애플,페이,포함,아이브스,애널리스트,애플,밸류에이션,재평가,핵심,1조,달러,가치,서비스,사업,애플,서비스,아이폰,중심,10년,제품,주기,하드웨어,생태,강조,전문가들,애플,중국,스마트폰,시장,주도,아이폰,수요,강세,유지,전망,아이폰,시리즈,인기,애플,6년,중국,스마트폰,시장,점유,자리,275만,애플,주식,보유,메인스테이,윈슬로,라지캡,성장,펀드,패트릭,버튼,포트폴리오,매니저,애플,성장주,가치,지속,가능,평가",neutral,3.0000019784492906
